artist,listennn,we_the_best,we_global,victory,we_the_best_forever,kiss_the_ring,suffering_from_success,i_changed_a_lot,major_key,grateful,father_of_asahd
2 Chainz,0,0,0,0,0,1,1,0,1,1,0
21 Savage,0,0,0,0,0,0,0,0,0,1,1
Ace Hood,0,0,1,1,1,1,1,1,0,0,0
Akon,1,1,1,0,1,0,1,0,0,0,0
Beanie Sigel,1,1,0,0,0,0,0,1,0,0,0
Beyonce,0,0,0,0,0,0,0,0,0,1,1
Big Sean,0,0,0,0,1,1,1,1,1,1,1
Birdman,1,1,1,1,1,1,1,0,0,0,0
Boosie Badazz,0,0,1,1,0,0,0,1,0,0,0
Brisco,1,1,1,0,0,0,0,0,0,0,0
Bun B,1,1,1,1,1,0,0,0,0,0,0
Busta Rhymes,0,1,1,1,1,0,0,0,1,0,0
Cardi B,0,0,0,0,0,0,0,0,0,0,1
Chance the Rapper,0,0,0,0,0,0,0,0,0,1,1
Chris Brown,0,0,0,0,1,1,1,1,1,0,1
Drake,0,0,0,1,1,0,1,0,1,1,0
Fabolous,0,0,1,0,1,0,0,1,1,0,0
Fat Joe,1,1,1,0,1,0,0,0,1,1,0
French Montana,0,0,0,0,0,1,1,1,1,0,0
Future,0,0,0,0,0,1,1,1,1,1,1
J. Cole,0,0,0,0,0,1,1,0,1,0,0
Jadakiss,1,1,0,0,1,1,1,1,1,1,0
Jay Z,0,0,1,0,0,0,0,1,1,1,1
Jeremih,0,0,0,0,0,0,1,1,1,1,1
Jim Jones,0,1,1,1,0,0,0,0,0,0,0
John Legend,1,0,0,1,0,0,1,1,0,0,1
Justin Bieber,0,0,0,0,0,0,0,0,0,1,1
Kanye West,1,0,1,0,0,1,0,0,0,0,0
Lil Wayne,1,1,0,1,1,1,1,1,1,1,1
Ludacris,0,1,0,1,1,0,0,0,0,0,0
Mavado,0,0,0,0,1,1,1,1,1,1,1
Meek Mill,0,0,0,0,1,1,1,1,0,0,1
Nas,0,0,1,1,0,1,0,0,1,1,1
Nicki Minaj,0,0,0,0,0,1,1,0,1,1,0
Pitbull,1,0,1,1,0,0,0,0,0,0,0
Plies,0,1,1,1,1,1,1,0,0,0,0
Quavo,0,0,0,0,0,0,0,0,0,1,1
Rick Ross,1,1,1,1,1,1,1,1,1,1,1
Rihanna,0,0,0,0,0,0,0,0,0,1,0
T-Pain,0,1,1,1,1,1,0,0,0,0,0
T.I.,1,1,0,0,0,1,1,0,0,1,0
The Game,0,1,1,0,1,0,0,0,0,0,0
Travis Scott,0,0,0,0,0,0,0,0,0,1,1
Trick Daddy,1,1,1,0,0,0,0,1,0,0,0
Vado,0,0,0,0,1,0,1,1,0,0,0
Wale,0,0,0,0,1,1,1,0,1,0,0
Wiz Khalifa,0,0,0,0,0,1,1,0,1,0,0
Young Jeezy,1,1,0,1,1,0,0,1,1,0,1
